Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA
22/10/2011,Dortmund,FC Koln,5,0,H,3,0,H,1.29,5.5,9.5,1.33,5.25,7.75
22/10/2011,Hamburg,Wolfsburg,1,1,D,0,1,A,2.15,3.4,3.3,2.25,3.5,3.1
22/10/2011,Hertha,Mainz,0,0,D,0,0,D,1.95,3.5,3.75,2,3.5,3.5
22/10/2011,Hoffenheim,M'gladbach,1,0,H,0,0,D,2,3.5,3.6,1.91,3.5,3.8
22/10/2011,Kaiserslautern,Freiburg,1,0,H,0,0,D,2,3.5,3.6,2,3.5,3.5
22/10/2011,Nurnberg,Stuttgart,2,2,D,1,0,H,2.5,3.4,2.7,2.55,3.5,2.55
23/10/2011,Hannover,Bayern Munich,2,1,H,1,0,H,9,4.5,1.36,7.25,4.6,1.4
23/10/2011,Leverkusen,Schalke 04,0,1,A,0,0,D,2,3.5,3.6,2.05,3.6,3.5
28/10/2011,Freiburg,Leverkusen,0,1,A,0,1,A,3.3,3.5,2.1,3.4,3.6,2.1
29/10/2011,Bayern Munich,Nurnberg,4,0,H,3,0,H,1.17,7,16,1.18,7,12.5
29/10/2011,Mainz,Werder Bremen,1,3,A,1,1,D,2.7,3.4,2.5,2.7,3.6,2.5
29/10/2011,M'gladbach,Hannover,2,1,H,1,1,D,2,3.4,3.75,2.05,3.5,3.4
29/10/2011,Schalke 04,Hoffenheim,3,1,H,1,0,H,1.95,3.3,4,1.91,3.5,3.8
29/10/2011,Stuttgart,Dortmund,1,1,D,1,1,D,3.3,3.3,2.2,3.25,3.5,2.2
29/10/2011,Wolfsburg,Hertha,2,3,A,1,2,A,2.2,3.4,3.2,2.1,3.5,3.25
30/10/2011,FC Koln,Augsburg,3,0,H,2,0,H,1.91,3.5,4,1.85,3.7,3.9
30/10/2011,Hamburg,Kaiserslautern,1,1,D,0,1,A,1.91,3.4,4,1.88,3.5,4
04/11/2011,Mainz,Stuttgart,3,1,H,0,0,D,2.5,3.4,2.7,2.65,3.5,2.6
05/11/2011,Dortmund,Wolfsburg,5,1,H,2,0,H,1.33,4.75,9.5,1.33,5,8.5
05/11/2011,Hertha,M'gladbach,1,2,A,1,1,D,2.25,3.3,3.2,2.2,3.5,3.25
05/11/2011,Hoffenheim,Kaiserslautern,1,1,D,1,0,H,1.67,3.8,5,1.7,3.6,4.9
05/11/2011,Leverkusen,Hamburg,2,2,D,2,1,H,1.62,3.75,5.5,1.7,3.9,4.75
05/11/2011,Nurnberg,Freiburg,1,2,A,1,1,D,1.73,3.5,5,1.72,3.7,4.6
05/11/2011,Werder Bremen,FC Koln,3,2,H,0,2,A,1.44,4.2,7.5,1.53,4.2,5.5
06/11/2011,Augsburg,Bayern Munich,1,2,A,0,2,A,15,6,1.2,12,6.5,1.2
06/11/2011,Hannover,Schalke 04,2,2,D,1,1,D,2.7,3.4,2.5,2.7,3.4,2.6
18/11/2011,Kaiserslautern,Leverkusen,0,2,A,0,0,D,2.88,3.4,2.38,2.9,3.5,2.4
19/11/2011,Bayern Munich,Dortmund,0,1,A,0,0,D,1.62,3.8,5.5,1.65,4,5
19/11/2011,Freiburg,Hertha,2,2,D,0,2,A,2.6,3.4,2.6,2.55,3.5,2.55
19/11/2011,M'gladbach,Werder Bremen,5,0,H,3,0,H,2.5,3.3,2.75,2.4,3.4,2.75
19/11/2011,Schalke 04,Nurnberg,4,0,H,2,0,H,1.75,3.5,4.75,1.7,3.75,4.75
19/11/2011,Wolfsburg,Hannover,4,1,H,2,1,H,2.3,3.4,3,2.3,3.5,2.9
20/11/2011,Hamburg,Hoffenheim,2,0,H,1,0,H,2.3,3.4,3,2.35,3.6,2.9
20/11/2011,Stuttgart,Augsburg,2,1,H,1,0,H,1.4,4.5,8,1.4,4.6,7.25
25/11/2011,FC Koln,M'gladbach,0,3,A,0,2,A,3.2,3.4,2.2,3.1,3.5,2.25
26/11/2011,Augsburg,Wolfsburg,2,0,H,0,0,D,2.88,3.4,2.38,2.95,3.4,2.3
26/11/2011,Dortmund,Schalke 04,2,0,H,1,0,H,1.65,3.75,5.25,1.75,3.8,4.6
26/11/2011,Hannover,Hamburg,1,1,D,0,0,D,2.2,3.4,3.2,2.25,3.4,3.25
26/11/2011,Hertha,Leverkusen,3,3,D,2,1,H,2.88,3.2,2.5,2.7,3.4,2.45
26/11/2011,Hoffenheim,Freiburg,1,1,D,1,0,H,1.62,3.75,5.5,1.62,4,5
26/11/2011,Nurnberg,Kaiserslautern,1,0,H,1,0,H,2,3.3,3.8,2,3.3,3.75
27/11/2011,Mainz,Bayern Munich,3,2,H,1,0,H,9,5,1.33,7.75,5,1.35
27/11/2011,Werder Bremen,Stuttgart,2,0,H,0,0,D,2.1,3.4,3.4,2.2,3.5,3.25
02/12/2011,Leverkusen,Hoffenheim,2,0,H,1,0,H,1.73,3.75,4.5,1.75,3.75,4.75
03/12/2011,Bayern Munich,Werder Bremen,4,1,H,1,0,H,1.3,5.5,9,1.34,5,8
03/12/2011,Freiburg,Hannover,1,1,D,0,1,A,2.38,3.4,2.88,2.4,3.4,2.8
03/12/2011,Kaiserslautern,Hertha,1,1,D,1,1,D,2.4,3.3,2.88,2.35,3.4,2.85
03/12/2011,M'gladbach,Dortmund,1,1,D,0,1,A,3.4,3.4,2.1,3.3,3.6,2.15
03/12/2011,Stuttgart,FC Koln,2,2,D,2,1,H,1.44,4.33,7,1.5,4.5,6.25
03/12/2011,Wolfsburg,Mainz,2,2,D,2,0,H,2.38,3.4,2.88,2.3,3.4,2.9
04/12/2011,Hamburg,Nurnberg,2,0,H,1,0,H,1.91,3.4,4,1.95,3.6,3.9
04/12/2011,Schalke 04,Augsburg,3,1,H,1,0,H,1.36,4.75,8.5,1.35,5,7.75
09/12/2011,Hertha,Schalke 04,1,2,A,1,2,A,2.75,3.3,2.5,2.8,3.5,2.45
10/12/2011,Augsburg,M'gladbach,1,0,H,0,0,D,4,3.4,1.91,3.9,3.4,1.91
10/12/2011,FC Koln,Freiburg,4,0,H,1,0,H,2.3,3.4,3,2.2,3.4,3.1
10/12/2011,Hannover,Leverkusen,0,0,D,0,0,D,2.7,3.4,2.5,2.55,3.5,2.55
10/12/2011,Mainz,Hamburg,0,0,D,0,0,D,2.2,3.4,3.2,2.15,3.4,3.2
10/12/2011,Nurnberg,Hoffenheim,0,2,A,0,1,A,2.3,3.4,3,2.35,3.3,3.1
10/12/2011,Werder Bremen,Wolfsburg,4,1,H,2,0,H,1.62,4,5,1.67,4.1,4.75
11/12/2011,Dortmund,Kaiserslautern,1,1,D,1,0,H,1.25,5.5,12,1.25,5.75,10.5
11/12/2011,Stuttgart,Bayern Munich,1,2,A,1,1,D,6.25,4,1.53,4.75,4.1,1.62
13/12/2011,FC Koln,Mainz,1,1,D,0,0,D,2.5,3.4,2.7,2.4,3.6,2.85
16/12/2011,Bayern Munich,FC Koln,3,0,H,0,0,D,1.13,8.5,17,1.15,8,13.5
17/12/2011,Freiburg,Dortmund,1,4,A,1,2,A,5.5,4,1.57,5.75,3.7,1.6
17/12/2011,Hamburg,Augsburg,1,1,D,0,0,D,1.57,3.75,6,1.6,3.75,5.75
17/12/2011,Hoffenheim,Hertha,1,1,D,1,0,H,1.91,3.5,4,1.95,3.4,3.8
17/12/2011,Leverkusen,Nurnberg,0,3,A,0,2,A,1.5,4,7,1.48,4,7
17/12/2011,Schalke 04,Werder Bremen,5,0,H,2,0,H,2,3.5,3.6,2.1,3.6,3.4
17/12/2011,Wolfsburg,Stuttgart,1,0,H,0,0,D,2.6,3.4,2.6,2.6,3.6,2.6
18/12/2011,Kaiserslautern,Hannover,1,1,D,0,1,A,2.3,3.3,3.1,2.3,3.4,2.95
18/12/2011,M'gladbach,Mainz,1,0,H,1,0,H,1.83,3.5,4.33,1.83,3.5,4.2
20/01/2012,M'gladbach,Bayern Munich,3,1,H,2,0,H,5,3.75,1.67,4.75,3.8,1.72
21/01/2012,Freiburg,Augsburg,1,0,H,0,0,D,2.05,3.4,3.6,2.15,3.4,3.5
21/01/2012,Hoffenheim,Hannover,0,0,D,0,0,D,1.85,3.6,4,1.91,3.4,4
21/01/2012,Kaiserslautern,Werder Bremen,0,0,D,0,0,D,2.8,3.4,2.4,2.8,3.4,2.4
21/01/2012,Nurnberg,Hertha,2,0,H,1,0,H,2.15,3.3,3.4,2.1,3.4,3.3
