Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA
08/11/2014,Celta,Granada,0,0,D,0,0,D,1.57,3.8,6,1.6,3.6,6
08/11/2014,Getafe,Elche,0,0,D,0,0,D,2,3.2,4,2.05,3.3,3.6
08/11/2014,Malaga,Eibar,2,1,H,0,1,A,1.57,3.75,6,1.6,3.5,6.25
08/11/2014,Real Madrid,Vallecano,5,1,H,2,1,H,1.05,15,26,1.08,9.75,26
09/11/2014,Espanol,Villarreal,1,1,D,0,1,A,3.1,3.2,2.3,2.75,3.3,2.5
09/11/2014,Sevilla,Levante,1,1,D,1,0,H,1.25,5.5,12,1.28,5,11
09/11/2014,Sociedad,Ath Madrid,2,1,H,1,1,D,4.33,3.6,1.8,4.1,3.6,1.83
09/11/2014,Valencia,Ath Bilbao,0,0,D,0,0,D,1.62,4,5.25,1.67,3.75,5
21/11/2014,Ath Bilbao,Espanol,3,1,H,2,0,H,1.8,3.5,4.5,1.83,3.4,4.4
22/11/2014,Ath Madrid,Malaga,3,1,H,2,0,H,1.44,4.2,7.5,1.5,4.2,6
22/11/2014,Barcelona,Sevilla,5,1,H,1,0,H,1.2,7,11,1.25,6.25,9.5
22/11/2014,Eibar,Real Madrid,0,4,A,0,2,A,15,6.5,1.18,11.5,6.25,1.22
22/11/2014,La Coruna,Sociedad,0,0,D,0,0,D,3.4,3.25,2.15,3,3.4,2.25
23/11/2014,Elche,Cordoba,2,2,D,0,1,A,2,3.2,4,2,3.25,3.75
23/11/2014,Levante,Valencia,2,1,H,0,0,D,5,3.75,1.67,4.6,3.7,1.72
23/11/2014,Vallecano,Celta,1,0,H,1,0,H,2.7,3.3,2.55,2.8,3.1,2.65
23/11/2014,Villarreal,Getafe,2,1,H,2,0,H,1.44,4.5,6.5,1.5,4,6.5
24/11/2014,Granada,Almeria,0,0,D,0,0,D,2,3.3,3.8,2.1,3.3,3.4
28/11/2014,Sociedad,Elche,3,0,H,2,0,H,1.7,3.75,5,1.73,3.6,4.75
29/11/2014,Celta,Eibar,0,1,A,0,1,A,1.62,4,5.5,1.67,3.7,5
29/11/2014,Espanol,Levante,2,1,H,2,1,H,1.67,3.7,5.5,1.73,3.4,5
29/11/2014,Getafe,Ath Bilbao,1,2,A,0,1,A,2.88,3.1,2.63,2.8,3.1,2.7
29/11/2014,Malaga,Real Madrid,1,2,A,0,1,A,10,6,1.29,8.25,5,1.33
30/11/2014,Ath Madrid,La Coruna,2,0,H,1,0,H,1.18,7,17,1.2,6.5,12.5
30/11/2014,Cordoba,Villarreal,0,2,A,0,1,A,4.33,3.6,1.85,4,3.4,1.91
30/11/2014,Sevilla,Granada,5,1,H,1,1,D,1.44,4.5,7.5,1.44,4.5,6.5
30/11/2014,Valencia,Barcelona,0,1,A,0,0,D,6,4.33,1.53,5.5,4,1.57
01/12/2014,Almeria,Vallecano,0,1,A,0,0,D,2.38,3.4,3,2.4,3.3,2.85
06/12/2014,Ath Bilbao,Cordoba,0,1,A,0,1,A,1.4,4.5,9,1.4,4.2,8.25
06/12/2014,Elche,Ath Madrid,0,2,A,0,1,A,7,3.75,1.57,6.5,4,1.57
06/12/2014,La Coruna,Malaga,0,1,A,0,1,A,3.6,3.25,2.1,3.1,3.25,2.3
06/12/2014,Real Madrid,Celta,3,0,H,1,0,H,1.09,12,21,1.11,9,17.5
07/12/2014,Barcelona,Espanol,5,1,H,1,1,D,1.09,12,21,1.1,9,19
07/12/2014,Granada,Valencia,1,1,D,0,0,D,3.9,3.4,2,3.6,3.3,2.05
07/12/2014,Vallecano,Sevilla,0,1,A,0,1,A,3.3,3.4,2.2,3.1,3.2,2.3
07/12/2014,Villarreal,Sociedad,4,0,H,0,0,D,1.67,3.75,5.5,1.7,3.75,4.6
08/12/2014,Eibar,Almeria,5,2,H,3,1,H,2.05,3.2,4,2.1,3.2,3.5
08/12/2014,Levante,Getafe,1,1,D,0,0,D,2.6,3.1,2.9,2.62,3.1,2.75
12/12/2014,Almeria,Real Madrid,1,4,A,1,2,A,17,7.5,1.17,13.5,7.5,1.17
13/12/2014,Cordoba,Levante,0,0,D,0,0,D,2.2,3.2,3.5,2.3,3.3,3
13/12/2014,Getafe,Barcelona,0,0,D,0,0,D,13,6.5,1.22,10,6.5,1.22
13/12/2014,Malaga,Celta,1,0,H,1,0,H,2.1,3.3,3.5,2.2,3.4,3.1
13/12/2014,Valencia,Vallecano,3,0,H,3,0,H,1.5,4.5,6,1.5,4.2,6
14/12/2014,Ath Madrid,Villarreal,0,1,A,0,0,D,1.62,4,5.5,1.65,3.6,5.25
14/12/2014,Espanol,Granada,2,1,H,1,0,H,1.7,3.6,5.5,1.75,3.6,4.5
14/12/2014,Sevilla,Eibar,0,0,D,0,0,D,1.4,4.5,9,1.4,4.4,7.75
14/12/2014,Sociedad,Ath Bilbao,1,1,D,1,0,H,2.5,3.2,3,2.5,3.25,2.75
15/12/2014,La Coruna,Elche,1,0,H,1,0,H,2.25,3.2,3.4,2.3,3.3,3
19/12/2014,Celta,Almeria,0,1,A,0,1,A,1.44,4.5,6.5,1.5,4.2,6
20/12/2014,Barcelona,Cordoba,5,0,H,1,0,H,1.06,15,26,1.07,13,23
20/12/2014,Eibar,Valencia,0,1,A,0,1,A,3.8,3.3,2.05,3.4,3.3,2.1
20/12/2014,Levante,Sociedad,1,1,D,0,0,D,3,3.2,2.5,2.95,3.25,2.55
20/12/2014,Vallecano,Espanol,1,3,A,1,1,D,2.3,3.4,3.1,2.3,3.4,3.2
21/12/2014,Ath Bilbao,Ath Madrid,1,4,A,1,0,H,3.6,3.1,2.25,3.4,3.2,2.3
21/12/2014,Elche,Malaga,1,2,A,1,0,H,3.1,3.1,2.5,2.9,3.3,2.55
21/12/2014,Granada,Getafe,1,1,D,1,0,H,2.38,3.1,3.3,2.45,3.1,3.2
21/12/2014,Villarreal,La Coruna,3,0,H,1,0,H,1.33,5,10,1.36,4.5,8.75
03/01/2015,Ath Madrid,Levante,3,1,H,1,0,H,1.2,6.5,17,1.2,6,14.5
03/01/2015,Elche,Villarreal,2,2,D,2,2,D,5,3.6,1.75,4.5,3.6,1.75
03/01/2015,La Coruna,Ath Bilbao,1,0,H,1,0,H,3.2,3.1,2.4,2.9,3.2,2.4
03/01/2015,Malaga,Almeria,1,2,A,0,1,A,1.53,4.1,6.5,1.57,3.75,6
03/01/2015,Sevilla,Celta,1,0,H,1,0,H,1.67,3.8,5.5,1.7,3.6,5
04/01/2015,Espanol,Eibar,1,2,A,0,2,A,1.85,3.4,4.75,1.85,3.3,4.4
04/01/2015,Getafe,Vallecano,1,2,A,1,1,D,2.25,3.4,3.2,2.2,3.2,3.3
04/01/2015,Sociedad,Barcelona,1,0,H,1,0,H,9,5.25,1.33,7.25,5,1.36
04/01/2015,Valencia,Real Madrid,2,1,H,0,1,A,5.5,4.33,1.57,5.5,4,1.57
05/01/2015,Cordoba,Granada,2,0,H,2,0,H,2.6,3,3,2.6,3,2.85
09/01/2015,Levante,La Coruna,0,0,D,0,0,D,2.1,3.1,3.75,2.2,3.2,3.25
10/01/2015,Celta,Valencia,1,1,D,0,1,A,2.7,3.2,2.7,2.7,3.2,2.6
10/01/2015,Eibar,Getafe,2,1,H,1,0,H,2.3,3.1,3.4,2.3,3.1,3.25
10/01/2015,Malaga,Villarreal,1,1,D,0,1,A,3,3.2,2.5,2.9,3.2,2.45
10/01/2015,Real Madrid,Espanol,3,0,H,2,0,H,1.08,11,29,1.08,10,23
11/01/2015,Almeria,Sevilla,0,2,A,0,0,D,4.75,3.4,1.85,3.9,3.3,1.95
11/01/2015,Ath Bilbao,Elche,1,2,A,0,1,A,1.53,3.8,7.5,1.53,3.9,6.25
11/01/2015,Barcelona,Ath Madrid,3,1,H,2,0,H,1.57,4.33,5.5,1.6,4.1,5
11/01/2015,Granada,Sociedad,1,1,D,0,1,A,2.8,3.1,2.7,2.75,3.2,2.55
12/01/2015,Vallecano,Cordoba,0,1,A,0,1,A,1.67,3.75,5.5,1.73,3.45,5
16/01/2015,Cordoba,Eibar,1,1,D,1,0,H,2.6,3,3,2.65,3.1,2.7
17/01/2015,Espanol,Celta,1,0,H,0,0,D,2.7,3.25,2.7,2.7,3.1,2.65
17/01/2015,Sociedad,Vallecano,0,1,A,0,0,D,1.91,3.5,4.2,1.91,3.5,3.8
17/01/2015,Valencia,Almeria,3,2,H,2,2,D,1.33,5,10,1.33,5,8.75
17/01/2015,Villarreal,Ath Bilbao,2,0,H,1,0,H,1.67,3.8,5.5,1.7,3.75,4.75
18/01/2015,Ath Madrid,Granada,2,0,H,1,0,H,1.18,7,17,1.2,6,14.5
18/01/2015,Elche,Levante,1,0,H,1,0,H,2.2,3.2,3.6,2.2,3.2,3.3
18/01/2015,Getafe,Real Madrid,0,3,A,0,0,D,13,6.5,1.22,10,6,1.25
18/01/2015,La Coruna,Barcelona,0,4,A,0,2,A,15,7.5,1.18,13,6.25,1.2
18/01/2015,Sevilla,Malaga,2,0,H,1,0,H,1.73,3.6,5.25,1.75,3.5,4.6
24/01/2015,Ath Madrid,Vallecano,3,1,H,2,1,H,1.25,6,12,1.28,5.5,9.75
24/01/2015,Cordoba,Real Madrid,1,2,A,1,1,D,21,8,1.14,17,7.25,1.14
24/01/2015,Elche,Barcelona,0,6,A,0,1,A,19,7,1.17,15.5,6.5,1.18
24/01/2015,Sociedad,Eibar,1,0,H,0,0,D,1.75,3.6,4.75,1.8,3.4,4.6
24/01/2015,Villarreal,Levante,1,0,H,0,0,D,1.29,5,11,1.3,5,10
25/01/2015,Ath Bilbao,Malaga,1,1,D,0,0,D,2.05,3.2,3.75,2.1,3.2,3.6
25/01/2015,Espanol,Almeria,3,0,H,2,0,H,1.7,3.5,5.25,1.75,3.3,5
25/01/2015,La Coruna,Granada,2,2,D,2,1,H,2.2,3.2,3.4,2.3,3.2,3.1
25/01/2015,Valencia,Sevilla,3,1,H,2,1,H,2.2,3.3,3.4,2.2,3.25,3.2
26/01/2015,Getafe,Celta,2,1,H,1,1,D,2.88,3.2,2.5,2.85,3.1,2.5
30/01/2015,Vallecano,La Coruna,1,2,A,1,1,D,1.75,3.5,5.25,1.8,3.4,4.5
31/01/2015,Celta,Cordoba,1,0,H,0,0,D,1.44,4.2,8.5,1.5,4.33,7
31/01/2015,Eibar,Ath Madrid,1,3,A,0,3,A,6.5,3.8,1.57,6.5,3.75,1.62
31/01/2015,Granada,Elche,1,0,H,0,0,D,1.95,3.25,4.33,1.95,3.25,4
31/01/2015,Real Madrid,Sociedad,4,1,H,2,1,H,1.18,7,17,1.2,7,15
01/02/2015,Almeria,Getafe,1,0,H,1,0,H,2.38,3.1,3.3,2.4,3.1,3
01/02/2015,Barcelona,Villarreal,3,2,H,1,1,D,1.2,7,13,1.22,6.5,10.5
01/02/2015,Levante,Ath Bilbao,0,2,A,0,0,D,3.3,3.1,2.38,3.4,3.1,2.35
01/02/2015,Sevilla,Espanol,3,2,H,2,1,H,1.62,3.8,6,1.62,4,5
02/02/2015,Malaga,Valencia,1,0,H,1,0,H,2.63,3.2,2.8,2.75,3.2,2.75
04/02/2015,Real Madrid,Sevilla,2,1,H,2,0,H,1.29,6,10,1.3,5.5,8.5
